"","access_clean","access_eletric","agro_land","water_total","co2_total","crop_prod","air_transport","fert_cons","food_prod","forest_area","gov_effective","land_area","livestock_prod","methane_total","nitrous_total","air_pollution","pop_density","reg_quality","renewables","fish_total","urban_pop","renew_water","sdi","ndgain","paris","continent"
"RUS",78.5,99.7779693603516,13.1584362579663,64.82,11.7971941673637,111.49,6480.99978,22.5914475252571,109.98,49.7843360788722,0.024324506521225,16376870,107.98,620983.1588,67353.29879,11.59553193,8.81769599441163,-0.476597219705582,3.22,5231713.15,74.587,29860.2011446027,0.661,61.1105590196505,"Yes","Europe"
"RWA",3.2,46.6,77.1787596270774,0.61,0.113057797770289,127.77,0,25.0389093959731,122.72,11.1471422780705,0.0929242670536041,24670,101.36,2646.873549,1998.336095,36.18491574,520.268666396433,-0.0101915299892426,81.8,24760.2,17.313,740.16200042571,0.585,44.0719216531408,"Yes","Africa"
"WSM",35.3,99.2,17.773381294964,NA,1.31521200537977,80.08,0,5.63596102745793,73.23,58.3273381294964,0.436201512813568,2780,49.65,246.008065,42.549576,11.01483371,76.2248201438849,-0.260609269142151,34.21,11226.12,18.056,NA,0.761,47.0120200703444,"Yes","Oceania"
"STP",3.09999999999999,75.1229476928711,43.75,0.0409,0.6533115252168,105.25,0.572749,51.6,105.53,54.7083333333333,-0.754292130470276,960,104.48,11.182034,16.126407,31.05885758,223.540625,-0.967672407627106,38.62,NA,73.598,10158.4816331856,0.673,42.350189616745,"Yes","Africa"
"SAU",100,99.99,80.7634751987496,23.38,14.7030166496769,152.11,2043.245359,87.6384839650146,137.09,0.454484134921779,0.261315554380417,2149690,126.49,104821.5282,8206.529572,61.50824107,16.6662923491294,-0.088528037071228,0.03,141039.8,84.065,66.9879071755269,0.324,54.7582378266426,"No","Asia"
"SEN",28.6,70.4,48.7975899859762,3.0616,0.768574983933597,163.8,2.091018,18.5655935397039,152.2,42.1137485067262,-0.134347766637802,192530,121.02,11393.57645,5696.805225,60.21139678,83.1079883654495,-0.175264254212379,36.89,517151.27,47.653,1612.4212936856,0.552,41.0774232296541,"Yes","Africa"
"SRB",78.2,99.8,39.5609421449806,5.6186,6.62757991630233,108.25,13.313,87.1015936409461,107.88,31.1253144294535,-0.0166272595524788,87460,106.81,11537.69348,4089.660916,25.35417205,79.4104161902584,0.097264789044857,21.53,9353.77,56.26,1210.47020007242,0.49,51.6897619271371,"Yes","Europe"
"SYC",100,100,3.3695652173913,0.011294,6.09782330345711,100.97,2.40769,845.066666666667,101.94,73.2608695652174,0.62259715795517,460,102.18,93.604624,4.061634,15.5639189,212.228260869565,0.0288456808775663,1.21,142169.4,57.119,NA,0.445,50.2607539455981,"No","Africa"
"SLE",0.700000000000001,22.7,54.7104461069548,0.2122,0.129094346244259,77.07,NA,17.1477083333333,78.18,35.3922139096703,-1.17459666728973,72180,99.16,3550.175785,1113.522576,51.09606544,111.482793017456,-0.916900396347046,75.44,202200,42.484,19883.6112813645,0.486,37.2003801640099,"No","Africa"
"SGP",100,100,0.921787709497207,0.493,7.91841038479591,107.18,6411.98982815646,138.214285714286,123.76,21.9972067039106,2.23171925544739,716,127.08,4251.251481,9929.268881,18.76588248,7965.87849162011,2.15443754196167,0.89,7249.08,100,105.197289626899,0.099,71.4436591273973,"Yes","Asia"
"SVK",100,100,39.2054908485857,0.5586,5.68970729978492,93.5,0,129.178791697554,97.94,40.05615640599,0.549811840057373,48080,106.85,4411.837499,2043.785603,18.36521464,113.43899750416,0.997581124305725,17.64,4540.54,53.729,2310.16875782776,0.285,57.7155139732995,"Yes","Europe"
"SVN",100,100,30.4066268051886,0.944,6.54333372438511,93.98,0.35950656,255.443359267229,99.91,61.5730716513379,1.04191696643829,20136.4,103.51,1717.443293,823.274165,16.96940443,103.711934605987,0.997022330760956,20.86,2425.26,54.822,8939.92247598024,0.455,65.152257753482,"Yes","Europe"
